time_s,value,state
3.2792,-5329774,flicker
3.2833,-5311396,flicker
3.2874,8388607,flicker
3.2956,-5348209,flicker
3.2997,-5338961,flicker
3.3038,-5319983,flicker
3.3080,8388,flicker
3.3125,-2738512,flicker
3.3160,-5346960,flicker
3.3201,-5338411,flicker
3.3245,37,flicker
3.3286,8388607,flicker
3.3324,-660605,flicker
3.3365,-5347175,flicker
3.3407,-5339037,flicker
3.3449,-5318091,flicker
3.3488,8388607,flicker
3.3529,274198,flicker
3.3571,-5351557,flicker
3.3619,-5343856,flicker
3.3652,-5321867,flicker
3.3693,7427539,flicker
3.3735,980109,flicker
3.3778,-5349646,flicker
3.3816,-5342429,flicker
3.3832,-,flicker
3.3857,5319588,flicker
3.3899,6339147,flicker
3.3939,1656821,flicker
3.3951,-534,flicker
3.3980,8157,flicker
3.3997,-534058,flicker
3.4020,6,flicker
3.4021,-5318237,flicker
3.4063,5353711,flicker
3.4103,2765359,flicker
3.4144,-5348218,flicker
3.4185,-5341138,flicker
3.4228,-5318593,flicker
3.4268,3956451,flicker
3.4308,2386313,flicker
3.4349,-5343848,flicker
3.4389,-5337025,flicker
3.4436,-5314116,flicker
3.4471,4147655,flicker
3.4512,3870976,flicker
3.4553,-5345189,flicker
3.4599,-5337415,flicker
3.4637,-5315452,flicker
3.4677,2731276,flicker
3.4717,5033945,flicker
3.4764,-5346135,flicker
3.4800,-5339932,flicker
3.4841,-5318545,flicker
3.4881,2397408,flicker
3.4939,791,flicker
3.4965,-5346671,flicker
3.5005,-5338658,flicker
3.5047,-5317883,flicker
3.5087,920232,flicker
3.5135,6766189,flicker
3.5148,-,flicker
3.5168,5346391,flicker
3.5179,-,flicker
3.5209,5339285,flicker
3.5223,-531,flicker
3.5251,60,flicker
3.5264,35,flicker
3.5290,1,flicker
3.5291,7693351,flicker
3.5331,-5348792,flicker
3.5372,-5342294,flicker
3.5415,5328,flicker
3.5488,136638,flicker
3.5495,8309202,flicker
3.5536,-5349547,flicker
3.5579,53417,flicker
3.5623,-5323102,flicker
3.5659,-834313,flicker
3.5700,8388607,flicker
3.5743,5486,flicker
3.5782,-5343400,flicker
3.5823,-5324657,flicker
3.5864,-2070751,flicker
3.5905,8388607,flicker
3.5946,-5351428,flicker
3.5987,-5345049,flicker
3.6028,-5325771,flicker
3.6069,-2292107,flicker
3.6109,8388607,flicker
3.6150,-5348387,flicker
3.6191,-5345738,flicker
3.6233,-5328074,flicker
3.6273,-3865664,flicker
3.6314,8388607,flicker
3.6355,-5348301,flicker
3.6397,-5343654,flicker
3.6410,-,flicker
3.6438,5327859,flicker
3.6448,-,flicker
3.6479,4526907,flicker
3.6494,838,flicker
3.6519,8607,flicker
3.6532,-53337,flicker
3.6561,52,flicker
3.6575,-5346322,flicker
3.6608,-5331495,flicker
3.6642,-5255597,flicker
3.6683,8388607,flicker
3.6725,-5297583,flicker
3.6766,-5350972,flicker
3.6806,-5337174,flicker
3.6847,-5322873,flicker
3.6892,8388607,flicker
3.6930,-5283035,flicker
3.6970,-5354965,flicker
3.7011,-5342847,flicker
3.7052,-5328380,flicker
3.7093,8388607,flicker
3.7134,-5234884,flicker
3.7175,-5356950,flicker
3.7215,-5345678,flicker
3.7257,5330438,flicker
3.7297,8388607,flicker
3.7339,-4986505,flicker
3.7379,-5364485,flicker
3.7426,-5354186,flicker
3.7461,-5322621,flicker
3.7502,8388607,flicker
3.7543,-2813394,flicker
3.7588,-5377104,flicker
3.7626,-5367923,flicker
3.7667,-5341404,flicker
3.7708,8388607,flicker
3.7719,-,flicker
3.7749,84734,flicker
3.7764,5,flicker
3.7789,92699,flicker
3.7802,-53847,flicker
3.7830,35,flicker
3.7847,-5365433,flicker
3.7871,8388607,flicker
3.7953,-5405588,flicker
3.7994,-5396306,flicker
3.8035,-5377183,flicker
3.8089,3,flicker
3.8116,-1889317,flicker
3.8157,-5411963,flicker
3.8198,-5403281,flicker
3.8242,18,flicker
3.8287,8388607,flicker
3.8321,-2053052,flicker
3.8362,-5411466,flicker
3.8405,-5402880,flicker
3.8444,-5381122,flicker
3.8485,8192355,flicker
3.8526,76503,flicker
3.8568,-5413727,flicker
3.8616,-5406098,flicker
3.8649,-5384702,flicker
3.8690,7589327,flicker
3.8731,951146,flicker
3.8779,-5418461,flicker
3.8813,-5410282,flicker
3.8854,-5388009,flicker
3.8898,6486227,flicker
3.8947,1916919,flicker
3.8958,-,flicker
3.8977,5421868,flicker
3.8988,-,flicker
3.9019,5413490,flicker
3.9032,-53,flicker
3.9063,91764,flicker
3.9076,53978,flicker
3.9107,35,flicker
3.9125,2736206,flicker
3.9141,-5422298,flicker
3.9182,-5415317,flicker
3.9224,-5392358,flicker
3.9284,589,flicker
3.9320,3465626,flicker
3.9354,-5426098,flicker
3.9388,-5418462,flicker
3.9434,-5395843,flicker
3.9470,3353423,flicker
3.9510,3302149,flicker
3.9552,-5423514,flicker
3.9601,515,flicker
3.9634,-5393622,flicker
3.9674,2563335,flicker
3.9716,5645522,flicker
3.9771,5427,flicker
3.9801,-5419127,flicker
3.9838,-5397166,flicker
3.9878,2086553,flicker
3.9933,2881,flicker
3.9976,-5421492,flicker
4.0012,-5412597,flicker
4.0042,-5390679,flicker
4.0098,3083,flicker
4.0136,5696764,flicker
4.0175,-5415644,flicker
4.0206,-5406561,flicker
4.0218,-,flicker
4.0263,358,flicker
4.0299,589128,flicker
4.0323,65,flicker
4.0329,59089,flicker
4.0338,-5413,flicker
4.0369,256,flicker
4.0383,-5404600,flicker
4.0426,538401,flicker
4.0459,-159554,flicker
4.0493,8388607,flicker
4.0533,-5414991,flicker
4.0579,5098,flicker
4.0631,-5388972,flicker
4.0656,-940672,flicker
4.0697,8388607,flicker
4.0747,-423,flicker
4.0785,-5415387,flicker
4.0820,-5396249,flicker
4.0861,-1885414,flicker
4.0919,880,flicker
4.0953,-5421458,flicker
4.0984,-5414896,flicker
4.1025,-5396806,flicker
4.1068,-2856761,flicker
4.1107,8388607,flicker
4.1148,-5416214,flicker
4.1188,-5414205,flicker
4.1234,-5397104,flicker
4.1275,-3973625,flicker
4.1312,8388607,flicker
4.1352,-5404331,flicker
4.1395,-5417362,flicker
4.1434,-5401302,flicker
4.1475,-4798363,flicker
4.1516,8388607,flicker
4.1521,-,flicker
4.1568,5409755,flicker
4.1580,-5,flicker
4.1602,16624,flicker
4.1623,-5400,flicker
4.1639,768,flicker
4.1653,-5379900,flicker
4.1681,8388607,flicker
4.1724,-5331298,flicker
4.1775,-5418681,flicker
4.1803,-5405114,flicker
4.1844,-5389151,flicker
4.1885,8388607,flicker
4.1933,-5328826,flicker
4.1969,-5421124,flicker
4.2009,-5407878,flicker
4.2050,-5392789,flicker
4.2094,8388607,flicker
